Client,Module,Date,Environment,Feature,Scenario,RepopStatus,Status,RerunStatus,RerunStatusViaUI,ConsolidatedStatus,Exception,RetryException,ExceptionHelp,FirstRunStartTime,FirstRunEndTime,Duration,DealName,DealID,UniqueTag,RequestID,FeatureFilePath,FilePairPath,GeneratedFile,EpicTicket,ScenarioTicket,FXDRCRRowFailure,BASE_FX,BASE_DR,BASE_CR,BASE_ROWS,GEN_FX,GEN_DR,GEN_CR,GEN_ROWS
SilverGregorian,"API-Core","04-30-2023","uat","Capture Document ID","Verify if REM user able to perform Import Capture DocumentId and DisbursementId with REM import Deal file","Fail","Failed","Failed","NA","Failed","API Response Status is: 120,The reason for failure is: Unable to import file","API Response Status is: 120,The reason for failure is: Unable to import file","Deviation in response status. Please rerun the test.With repeated results if the API status is not as expected - Please communicate the status code to the TPI team for assistance.","2023-04-30 23:47:46","2023-04-30 23:51:32","226","--","--","@TC6210_ImportCaptureDocumentIdForREMDeal","--","features/API/SilverGregorian/CaptureDocIDAndDisbursementImportWithRemUser.feature","uat/Autobots_UAT_AutomatedTests/builds/294/htmlreports/LiveDashboard/APITestData/@TC6210_ImportCaptureDocumentIdForREMDeal","ImportDeals_410_TC6210_ImportCaptureDocumentIdForREMDeal_rerun.xml","AUTO-3116","AUTO-6288","NA","NA","NA","NA","NA","NA","NA","NA","NA",
SilverGregorian,"Core","04-30-2023","uat","Logi Report - Scripted Reports","Verify user is able to generate PDF report of Schedule Activity Trend V2 for a Single Month","Fail","Failed","NA","NA","Failed","Unable to locate frame using WebElement inside frame Schedule Activity Trend Report V2 Report Frame","--","The UI Frame not available. Verify screenshot and rerun the test. If the issue still persists - contact automation team.","2023-04-30 18:09:34","2023-04-30 18:20:54","680","--","--","@TC6009_SATV2GenerateInPDF","42757","features/Core/SilverGregorian/ScheduleActivityTrendV2InPDF.feature","--","--","AUTO-3116","AUTO-5773","N","22263116.000","1125531.295","1125531.295","509.000","22263116.000","1125531.295","1125531.295","509.000",
GoldGregorianMEC,"Core","04-30-2023","uat","GoldGregorianMEC ledger exports v2","For deal REG-840_GMQ ledger ASC 842 MR Ledger client GoldGregorianMEC repop and validate LE V1 vs V2","--","TEST IN QUEUE","NA","NA","null","--","null","NA","2023-04-30 00:00:00","2023-04-30 00:00:00","0","null","--","@TC6547_FT_LA_9163_2_LEV2","--","--","null","null","AUTO-3116","AUTO-7098","null","null","null","null","null","null","null","null","null",
Gold445MEC,"Core","04-30-2023","uat","gold445mec-accounting-regression-tests-(reg797,-reg801,-reg826)","For deal REG-797_4MQ and client Gold445MEC repop and validate LE","Pass","Failed","NA","NA","Failed","Invalid file LeaseAccRouter generated instead of required report","--","The application is generating LeaseAccRouter file instead of required files(xlsx, xls, csv).Please verify if reporting engine is up and running If reporting engine up and running, please rerun the tests using Unique tag.","2023-04-30 17:52:14","2023-04-30 17:56:14","239","REG-797_4MQ","50547","@TC3235_REG-797_4MQ","42687","features/Core/Gold445MEC/REGScenarios/Gold445MEC_REG797,REG801,REG826.feature","--","--","AUTO-992","AUTO-1969","Y","20067084.000","727045.650","727045.650","464.000","12724352.000","996912.068","996912.068","293.000",
SilverGregorianAOP,"Core","04-30-2023","uat","verify-if-user-is-able-to-generate-le-for-capop-lease-under-asc-842-recurring-payment-adjustment-with-the-resolution-of-contingency-reason-type-is-recorded-after-transition-date","For deal CaseAC170Scenario2.4-AfterTransitionContingentRentResolvedASCABS and client SilverGregorianAOP repop and validate LE","Pass","Failed","Failed","NA","Failed","Invalid file LeaseAccRouter generated instead of required report","Invalid file LeaseAccRouter generated instead of required report","The application is generating LeaseAccRouter file instead of required files(xlsx, xls, csv).Please verify if reporting engine is up and running If reporting engine up and running, please rerun the tests using Unique tag.","2023-05-01 00:28:56","2023-05-01 00:32:08","191","CaseAC170Scenario2.4-AfterTransitionContingentRentResolvedASCABS","47123","@TC1198_CaseAC170Scenario2.4-AfterTransitionContingentRentResolvedASCABS","80072","features/Core/SilverGregorianAOP/CaseAC170Scenario2.4-AfterTransitionContingentRentResolvedASCABS.feature","--","--","AUTO-1061","AUTO-1636","N","12067962.000","312760.356","312760.356","278.000","12067962.000","312760.356","312760.356","278.000",
SilverGregorian,"Core","04-30-2023","uat","verify-if-user-is-able-to-generate-quantitative-analysis-report-using-transactional-currency","For deal QAR - Basic Finance Advance payment and client SilverGregorian repop and validate Quantitative analysis report of Transactional currency","Pass","Failed","NA","NA","Failed","Invalid file LeaseAccRouter generated instead of required report","--","The application is generating LeaseAccRouter file instead of required files(xlsx, xls, csv).Please verify if reporting engine is up and running If reporting engine up and running, please rerun the tests using Unique tag.","2023-04-30 17:00:43","2023-04-30 17:05:16","272","QAR - Basic Finance Advance payment","38843","@TC301_QARTransactionalCurrency_Basic_Finance_Adv_Payment_Deal","137051","features/Core/SilverGregorian/ManualScenariosQARRelated/QARTransactionalCurrency.feature","--","--","","","NA","NA","NA","NA","NA","NA","NA","NA","NA",
GoldGregorian,"Core","04-30-2023","uat","GoldGregorian Accounting Regression Tests(REG711, REG716, REG722)","For deal REG-716_GQ and client GoldGregorian repop and validate LE","Pass","Failed","NA","NA","Failed","Invalid file LeaseAccRouter generated instead of required report","--","The application is generating LeaseAccRouter file instead of required files(xlsx, xls, csv).Please verify if reporting engine is up and running If reporting engine up and running, please rerun the tests using Unique tag.","2023-04-30 18:33:40","2023-04-30 18:37:39","239","REG-716_GQ","568062","@TC3390_REG-716_GQ","137227","features/Core/GoldGregorian/REGScenarios/GoldGregorian_REG711,REG716,REG722.feature","uat/Autobots_UAT_AutomatedTests/builds/294/htmlreports/LiveDashboard/TestData/PIW/@TC5616_ImportMultiplePaymentAdjustments","--","AUTO-992","AUTO-2043","N","22263116.000","1125531.295","1125531.295","509.000","22263116.000","1125531.295","1125531.295","509.000",
SilverGregorian,"Core","04-30-2023","uat","Search","Verify that user should be able to set the default search criteria from Profile screen to search for Deal and Search By Named Participant","Fail","Passed","NA","NA","Passed","","","","2023-04-30 18:42:56","2023-04-30 18:44:38","101","--","--","@TC6205_FavoriteSearchCriteriaForDealAndNamedParticipant","--","features/Core/SilverGregorian/DefaultSearchCriteriaSearchForDealAndSearchByNamedParticipants.feature","--","--","AUTO-3116","AUTO-6059","N","49786468.000","1688675.734","1688675.734","1146.000","49786468.000","1688675.734","1688675.734","1146.000",
Gold,"Core","04-30-2023","uat","generating-report-le-working-with--a-specific-deal","For deal Working Fin-2A ledger and client gold repop and Validate LE for ASC 840 Ledger","Pass","Failed","Failed","NA","Failed","Invalid file LeaseAccRouter generated instead of required report","Invalid file LeaseAccRouter generated instead of required report","The application is generating LeaseAccRouter file instead of required files(xlsx, xls, csv).Please verify if reporting engine is up and running If reporting engine up and running, please rerun the tests using Unique tag.","2023-04-30 23:40:26","2023-04-30 23:43:15","168","--","--","@TC726_GoldGenerateLEWorkingFin-2A_ASC840","60531","features/Core/Gold/LedgerExportReportWorkingFinDeals.feature","--","--","","","Y","18666386.000","968137.870","968137.870","428.000","13369154.000","256753.000","256753.000","308.000",
GoldGregorianMEC,"Core","04-30-2023","uat","goldgregorianmec-accounting-regression-tests-(reg560,-reg561,-reg563)","For deal REG-561_GMQ and client GoldGregorianMEC repop and validate LE","Pass","Failed","NA","NA","Failed","Difference in total number of Rows from baseline :  Expected [465] found [294] on sheet: Ledger Entries","Rerun did not happen due to Base File failure scenario","Mismatch observed in generated file when compared to basefile.Please verify the output by comparing the Generated file to the Basefile.","2023-04-30 17:43:23","2023-04-30 17:45:22","119","REG-561_GMQ","568267","@TC3228_REG-561_GMQ","99733","features/Core/GoldGregorianMEC/REGScenarios/GoldGregorianMEC_REG560,REG561,REG563.feature","uat/Autobots_UAT_AutomatedTests/builds/294/htmlreports/LiveDashboard/TestData/GoldGregorianMEC/@TC3228_REG-561_GMQ/","TC3228_LedgerExport-GGMAuto40-99733.xlsx","AUTO-992","AUTO-1826","Y","20067084.000","727045.650","727045.650","464.000","12724352.000","996912.068","996912.068","293.000",
SilverGregorianAPI,"API","04-30-2023","uat","import-deals-negative-scenarios00","User imports new deal through API request for negative case consisting BlankLesseeEntityLedgerAndGLCode data for client SilverGregorianAPI","Fail","Passed","NA","NA","Passed","","","","2023-04-30 16:49:35","2023-04-30 16:52:03","147","--","--","@TC3705_ImportDeal_NegativeCase_BlankLesseeEntityLedgerAndGLCode","42653","features/API/SilverGregorianAPI/ImportDealRegNegativeTest00API.feature","uat/Autobots_UAT_AutomatedTests/builds/294/htmlreports/LiveDashboard/APITestData/@TC3705_ImportDeal_NegativeCase_BlankLesseeEntityLedgerAndGLCode","ImportDealWithBlankLesseeEntityLedgerAndGLCode_788_TC3705_ImportDeal_NegativeCase_BlankLesseeEntityLedgerAndGLCode.xml","AUTO-35","AUTO-1066","Y","98218136.000","930298.108","930298.108","2257.000","70455683.000","922076.751","922076.751","1618.000",
Gold,"Core","04-30-2023","uat","generating-report-le-working-with--a-specific-deal","For deal Working Fin-4A ledger and client gold repop and Validate LE for ASC 842 Ledger","Pass","Failed","NA","NA","Failed","Invalid file LeaseAccRouter generated instead of required report","--","The application is generating LeaseAccRouter file instead of required files(xlsx, xls, csv).Please verify if reporting engine is up and running If reporting engine up and running, please rerun the tests using Unique tag.","2023-04-30 19:10:46","2023-04-30 19:13:45","178","--","--","@TC733_GoldGenerateLEWorkingFin-4A_ASC842","60397","features/Core/Gold/LedgerExportReportWorkingFinDeals.feature","uat/Autobots_UAT_AutomatedTests/builds/294/htmlreports/LiveDashboard/TestData/PIW/@TC5616_ImportMultiplePaymentAdjustments","--","","","N","22263116.000","1125531.295","1125531.295","509.000","22263116.000","1125531.295","1125531.295","509.000",
SilverGregorian,"Core","04-30-2023","uat","Validation related  to Intercompany Segment (AT-LA-7425-2 and UT-LA-7425-1)","To verify the validation messages related to the Intercompany segment while creating a ledger from Settings screen With No Intercompany","Fail","Passed","NA","NA","Passed","","","","2023-04-30 16:42:54","2023-04-30 16:44:47","112","--","--","@TC5448_AddLedgerWithoutIntercompany","79183","features/Core/SilverGregorian/AddLedgerNegativeScenario.feature","uat/Autobots_UAT_AutomatedTests/builds/294/htmlreports/LiveDashboard/APITestData/@TC3710_ImportDeal_NegativeCase_DealTagNotOpened","--","AUTO-3116","AUTO-5049","NA","NA","NA","NA","NA","NA","NA","NA","NA",
SilverGregorianAPI,"API","04-30-2023","uat","Black lines Balances Export report","User generates BLlacklines balances export report through API request for CSV file format for client SilverGregorianAPI","Fail","Passed","NA","NA","Passed","","","","2023-04-30 17:50:07","2023-04-30 17:52:13","126","--","--","@TC5720_GenerateBlacklinesBalancesExportCSV","99739","features/API/SilverGregorianAPI/BlacklinesBalancesExportCsv.feature","uat/Autobots_UAT_AutomatedTests/builds/294/htmlreports/LiveDashboard/TestData/SilverGregorianAPI/@TC5720_GenerateBlacklinesBalancesExportCSV/","GenerateBlackLineBalancesExport_895_TC5720_GenerateBlacklinesBalancesExportCSV.xlsx","AUTO-3116","AUTO-5467","Y","20067084.000","727045.650","727045.650","464.000","12724352.000","996912.068","996912.068","293.000",
SilverGregorianAOP,"Core","04-30-2023","uat","RFP - Request For Proposal","Verify RFP PDF format for Payment based on Fixed Interest Rate","--","TEST IN QUEUE","NA","NA","null","--","null","NA","2023-04-30 00:00:00","2023-04-30 00:00:00","0","null","--","@TC6525_ValidationOfRFP_PDFBasedOnFIR","--","--","null","null","AUTO-3116","AUTO-6932","null","null","null","null","null","null","null","null","null",
GoldGregorian,"Core","04-30-2023","uat","goldgregorian-accounting-regression-tests-(reg066-to-reg068)","For deal REG067_G and client Goldgregorian repop and validate LE","Pass","Failed","Failed","NA","Failed","Invalid file LeaseAccRouter generated instead of required report","Invalid file LeaseAccRouter generated instead of required report","The application is generating LeaseAccRouter file instead of required files(xlsx, xls, csv).Please verify if reporting engine is up and running If reporting engine up and running, please rerun the tests using Unique tag.","2023-04-30 22:37:11","2023-04-30 22:40:40","208","REG067_G","567215","@TC541_REG067_G","137369","features/Core/GoldGregorian/REGScenarios/GoldGregorian_REG066,REG067,REG068.feature","--","--","78122","86124","NA","NA","NA","NA","NA","NA","NA","NA","NA",
GoldGregorianFX,"Core","04-30-2023","uat","Schedule Trial Balance V2","Validate Schedule Trial Balance V2 report for Completion and Accuracy","Fail","Failed","NA","NA","Failed","Unable to locate frame using WebElement inside frame Schedule Trial Balance V2 Report Frame","--","The UI Frame not available. Verify screenshot and rerun the test. If the issue still persists - contact automation team.","2023-04-30 18:51:09","2023-04-30 19:02:57","708","--","--","@TC5972_ScheduleTrailBalanceV2","79535","features/Core/GoldGregorianFX/ScheduleTrailBalanceV2ForSingleMonth.feature","--","--","AUTO-1062","AUTO-6171","N","49786468.000","1688675.734","1688675.734","1146.000","49786468.000","1688675.734","1688675.734","1146.000",
Gold445,"Core","04-30-2023","uat","gold445-accounting-regression-tests-(reg061-to-reg065)","For deal REG062_4 and client Gold445 repop and validate LE","Pass","Failed","Failed","NA","Failed","Invalid file LeaseAccRouter generated instead of required report","Invalid file LeaseAccRouter generated instead of required report","The application is generating LeaseAccRouter file instead of required files(xlsx, xls, csv).Please verify if reporting engine is up and running If reporting engine up and running, please rerun the tests using Unique tag.","2023-04-30 23:32:12","2023-04-30 23:35:37","204","REG062_4","50159","@TC639_REG062_4","67841","features/Core/Gold445/REGScenarios/Gold445_REG061,REG062,REG065.feature","--","--","78122","86119","Y","54900308.000","216031.734","216031.734","1260.000","8397840.000","16963.922","16963.922","194.000",
GoldGregorianMEC,"Core","04-30-2023","uat","goldgregorianmec-accounting-regression-tests-(reg863,-reg866,-reg867)","For deal REG-863_GMQ and client GoldGregorianMEC repop and validate LE","Pass","Failed","NA","NA","Failed","Invalid file LeaseAccRouter generated instead of required report","--","The application is generating LeaseAccRouter file instead of required files(xlsx, xls, csv).Please verify if reporting engine is up and running If reporting engine up and running, please rerun the tests using Unique tag.","2023-04-30 17:29:42","2023-04-30 17:34:12","270","REG-863_GMQ","568177","@TC3243_REG-863_GMQ","99709","features/Core/GoldGregorianMEC/REGScenarios/GoldGregorianMEC_REG863,REG866,REG867.feature","--","--","AUTO-992","AUTO-1953","NA","NA","NA","NA","NA","NA","NA","NA","NA",
Gold445,"Core","04-30-2023","uat","gold445-accounting-regression-tests-(reg051-to-reg056)","For deal REG051_4 and client Gold445 repop and validate LE","Pass","Failed","NA","NA","Failed","Invalid file LeaseAccRouter generated instead of required report","--","The application is generating LeaseAccRouter file instead of required files(xlsx, xls, csv).Please verify if reporting engine is up and running If reporting engine up and running, please rerun the tests using Unique tag.","2023-04-30 19:20:40","2023-04-30 19:23:47","187","REG051_4","50189","@TC207_REG051_4","67628","features/Core/Gold445/REGScenarios/Gold445_REG051,REG055,REG056.feature","--","--","78122","86107","Y","100098936.000","2178244.857","2178244.857","2262.000","99377302.000","2178244.812","2178244.812","2242.000",
Silver445,"Core","04-30-2023","uat","Impairment Loss Reversal E2E Scenarios","User performs Partial Impairment, Partial Impairment and Partial Reversal using Silver445 and 840 Ledger","Fail","Failed","Failed","NA","Failed","Timed out after 5 seconds. Unable to locate the element","Timed out after 5 seconds. Unable to locate the element","timed out after 5 seconds. unable to locate the element","2023-04-30 22:31:06","2023-04-30 22:34:47","220","--","--","@TC5276_ILRE2E_Silver445_Scenario_3_840_Ledger","--","features/Core/Silver445/Silver445_ILR_E2E_Scenario_3.feature","--","--","AUTO-3116","AUTO-4948","NA","NA","NA","NA","NA","NA","NA","NA","NA",
SilverGregorianAOP,"Core","04-30-2023","uat","verify-account-balance-adjustments-recorded-on-transition-date-for-the-absolute-amount-on-a-deal-with-partial-impairment-under-asc-842","For deal CaseAC170Scenario1.2-PartialImpairmentABS and client SilverGregorianAOP repop and validate LE","Pass","Failed","NA","NA","Failed","Invalid file LeaseAccRouter generated instead of required report","--","The application is generating LeaseAccRouter file instead of required files(xlsx, xls, csv).Please verify if reporting engine is up and running If reporting engine up and running, please rerun the tests using Unique tag.","2023-04-30 16:44:47","2023-04-30 16:48:46","238","CaseAC170Scenario1.2-PartialImpairmentABS","47104","@TC1110_CaseAC170Scenario1.2-PartialImpairmentABS","79201","features/Core/SilverGregorianAOP/CaseAC170Scenario1.2-PartialImpairmentABS.feature","uat/Autobots_UAT_AutomatedTests/builds/294/htmlreports/LiveDashboard/APITestData/@TC3710_ImportDeal_NegativeCase_DealTagNotOpened","--","AUTO-1061","AUTO-1626","NA","NA","NA","NA","NA","NA","NA","NA","NA",
GoldGregorian,"Core","04-30-2023","uat","Regression Gold Accounting Tests (REG1004, REG1005, REG1009)","For deal REG-1004_GQ_RENEWAL and client GoldGregorian repop and validate LE","Pass","Failed","NA","NA","Failed","Invalid file LeaseAccRouter generated instead of required report","--","The application is generating LeaseAccRouter file instead of required files(xlsx, xls, csv).Please verify if reporting engine is up and running If reporting engine up and running, please rerun the tests using Unique tag.","2023-04-30 18:37:16","2023-04-30 18:41:22","246","REG-1004_GQ_RENEWAL","569788","@TC3975_REG-1004_GQ_RENEWAL","137236","features/Core/GoldGregorian/REGScenarios/GoldGregorian_REG1004,REG1005,REG1009.feature","--","--","AUTO-992","AUTO-2263","Y","21075936.000","825914.033","825914.033","487.000","13106652.000","1292620.094","1292620.094","299.000",
SilverGregorianAPI,"API","04-30-2023","uat","Get Reportable status","Verify that Get Reportable Status API is working properly","Fail","Passed","NA","NA","Passed","","","","2023-04-30 17:50:58","2023-04-30 17:53:14","135","--","--","@TC5810_GetReportableStatus","79362","features/API/SilverGregorianAPI/GetReportableStatusVerification.feature","uat/Autobots_UAT_AutomatedTests/builds/294/htmlreports/LiveDashboard/APITestData/@TC5810_GetReportableStatus","GetReportableStatus_207_TC5810_GetReportableStatus.xml","AUTO-3116","AUTO-5615","N","22263116.000","1125531.295","1125531.295","509.000","22263116.000","1125531.295","1125531.295","509.000",
GoldGregorian,"Core","04-30-2023","uat","goldgregorian-accounting-regression-tests-(reg028-to-reg030)","For deal REG-030 and client GoldGregorian repop and validate LE","Pass","Failed","NA","NA","Failed","Invalid file LeaseAccRouter generated instead of required report","--","The application is generating LeaseAccRouter file instead of required files(xlsx, xls, csv).Please verify if reporting engine is up and running If reporting engine up and running, please rerun the tests using Unique tag.","2023-04-30 17:09:02","2023-04-30 17:12:51","229","REG-030","525290","@TC2711_REG-030","137073","features/Core/GoldGregorian/REGScenarios/GoldGregorian_REG028,REG029,REG030.feature","--","--","78122","81647","Y","98218136.000","930298.108","930298.108","2257.000","70455683.000","922076.751","922076.751","1618.000",
Gold445MEC,"Core","04-30-2023","uat","End Of Term Activity","Verify End Of Term Activity for accuracy for 445 calendar client","Pass","Failed","Failed","NA","Failed","null","null","Observed Null pointer Exception during Execution.Verify the Automation script.For aasistance, Please Contact Automation Team.","2023-04-30 23:41:44","2023-04-30 23:44:36","171","--","--","@TC6182_CORE_P1_EOTActivity-445","137446","features/Core/Gold445MEC/EOTActivityReportP1.feature","--","--","AUTO-6376","AUTO-6561","NA","NA","NA","NA","NA","NA","NA","NA","NA",
Gold445,"Core","04-30-2023","uat","gold445-accounting-regression-tests-(reg396)","For deal REG401_4 and client Gold445 repop and validate LE","Pass","Failed","NA","NA","Failed","Invalid file LeaseAccRouter generated instead of required report","--","The application is generating LeaseAccRouter file instead of required files(xlsx, xls, csv).Please verify if reporting engine is up and running If reporting engine up and running, please rerun the tests using Unique tag.","2023-04-30 15:56:30","2023-04-30 15:59:46","195","REG401_4","50317","@TC525_REG401_4","67505","features/Core/Gold445/REGScenarios/Gold445_REG396,REG401.feature","--","--","AUTO-73","AUTO-1051","NA","NA","NA","NA","NA","NA","NA","NA","NA",
